識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
0,音読み,a,騒擾,そうじょう,過激派が騒擾を起こした。,騒擾,そうじょう,X,X
1,音読み,a,貼付,ちょうふ,切手を貼付する。,貼付,ちょうふ,X,X
2,音読み,a,怨念,おんねん,積年の怨念を晴らす。,怨念,おんねん,X,X
3,音読み,a,慧眼,けいがん,時代を見抜く慧眼で危機を乗り切る。,慧眼,けいがん,X,X
4,音読み,a,紐帯,ちゅうたい,同盟の紐帯となる条約を結ぶ。,紐帯,ちゅうたい,X,X
5,音読み,a,頸椎,けいつい,サッカーで頸椎を損傷する。,頸椎,けいつい,X,X
6,音読み,a,抹消,まっしょう,抹消にとらわれて本質を忘れる。,抹消,まっしょう,X,X
7,音読み,a,碩学,せきがく,宇宙工学の碩学として有名だ。,碩学,せきがく,X,X
8,音読み,a,払拭,ふっしょく,政治家の疑惑が払拭できない。,払拭,ふっしょく,X,X
9,音読み,a,馴化,じゅんか,植物が土地に馴化していく。,馴化,じゅんか,X,X
10,音読み,a,造詣,ぞうけい,文化人類学に造詣が深い。,造詣,ぞうけい,X,X
11,音読み,a,厨子,ずし,堂内の厨子に秘仏を安置する。,厨子,ずし,X,X
12,音読み,a,捺印,なついん,互いに署名捺印する。,捺印,なついん,X,X
13,音読み,a,挽歌,ばんか,死を悼み挽歌を送る。,挽歌,ばんか,X,X
14,音読み,a,頓挫,とんざ,資金不足で計画は頓挫した。,頓挫,とんざ,X,X
15,音読み,a,蒐集,しゅうしゅう,珍しい世界の切手を蒐集する。,蒐集,しゅうしゅう,X,X
16,音読み,a,輔弼,ほひつ,天皇の輔弼として政治を助ける。,輔弼,ほひつ,X,X
17,音読み,a,瞳孔,どうこう,ショックで瞳孔が開いた。,瞳孔,どうこう,X,X
18,音読み,a,瑠璃,るり,瑠璃色に光る宝石に魅せられる。,瑠璃,るり,X,X
19,音読み,a,嫉妬,しっと,嫉妬は愛情の裏返しだ。,嫉妬,しっと,X,X
20,音読み,a,尖兵,せんぺい,戦争では尖兵として戦った。,尖兵,せんぺい,X,X
21,音読み,a,凋落,ちょうらく,彼の凋落ぶりは目を覆うばかりだ。,凋落,ちょうらく,X,X
22,音読み,a,老爺,ろうや,老爺が道具の手入れをしている。,老爺,ろうや,X,X
23,音読み,a,耽溺,たんでき,酒や賭け事に耽溺する。,耽溺,たんでき,X,X
24,音読み,a,三昧,ざんまい,贅沢三昧の生活を送る。,三昧,ざんまい,X,X
25,音読み,a,悉皆,しっかい,一心に悉皆成仏を唱える。,悉皆,しっかい,X,X
26,音読み,a,凌駕,りょうが,力が技を凌駕した。,凌駕,りょうが,X,X
27,音読み,a,馴致,じゅんち,仔馬を馴致して競走馬に育てる。,馴致,じゅんち,X,X
28,音読み,a,凄絶,せいぜつ,凄絶な試合に目を奪われる。,凄絶,せいぜつ,X,X
29,音読み,a,呪術,じゅじゅつ,呪術に詳しい人に会った。,呪術,じゅじゅつ,X,X
30,音読み,a,悶絶,もんぜつ,あまりの苦しみに悶絶した。,悶絶,もんぜつ,X,X
31,音読み,a,好好爺,こうこうや,山奥の一軒家で好好爺に出会う。,好好爺,こうこうや,X,X
32,音読み,a,律呂,りつりょ,楽器の律呂を調える。,律呂,りつりょ,X,X
33,音読み,a,托鉢,たくはつ,托鉢の僧が街角に立つ。,托鉢,たくはつ,X,X
34,音読み,a,脆弱,ぜいじゃく,体が脆弱で学校を休みがちだ。,脆弱,ぜいじゃく,X,X
35,音読み,a,凌雲,りょううん,凌雲の志を抱く。,凌雲,りょううん,X,X
36,音読み,a,紅蓮,ぐれん,母屋が紅蓮の炎に包まれる。,紅蓮,ぐれん,X,X
37,音読み,a,甜菜,てんさい,甜菜から砂糖を精製する。,甜菜,てんさい,X,X
38,音読み,a,神輿,みこし,神輿を清めるための儀式を行う。,神輿,みこし,X,X
39,音読み,a,凄惨,せいさん,凄惨な場面に目をそむける。,凄惨,せいさん,X,X
40,音読み,a,疏外感,そがいかん,仲間の中で疏外感を味わう。,疏外感,そがいかん,X,X
